,Name,Institution
0,Celina Bermudez,Consejo Superior de Investigaciones Cientificas
1,Johannes Bischoff,"Fritz-Haber Institute, Berlin"
2,Jasmin Borsovsky,University of New South Wales
3,Hayley Bunn,Emory University
4,Justin Chaillot,Universite Grenobles
5,Bryan Changala,"JILA/ University of Colorado, Boulder"
6,Olivia Chitarra,University of Paris Saclay
7,André Eckhardt,Center for Astrophysics| Harvard & Smithsonian
8,Thomas Hearne,Universite de Rennes
9,Stephen Kocheril,Brown University
10,Zachariah Levey,University of New South Wales
11,Aravindh Nivas Marimuthu,Radboud University
12,Charles Markus,"I. Physikalisches Institut, Universtat zu Koln"
13,Mattia Melosso,University of Bologna
14,Noureddin Osseiran,Universite de Lille
15,Sederra Ross,"University of Massachusetts, Boston"
16,Shefali Saxena,"King's College, London"
17,Weslley Silva,University of Manitoba
18,J. H. Westerfield,"University of California, Davis"
19,Maria Zdanovskaia,"University of Wisconsin, Madison"
20,Oliver Zingsheim,"I. Physikalisches Institut, Universtat zu Koln"
21,Anthony Roucou,Louvain
22,Nadav Genossar,Ben-Gurion University of the Negev
23,Eszter Dudas,Universite de Rennes
